owner,burns
0xe34a17cf38d16d67e9307b127fd474502dba5f65,5
0x888d2c0fbbbc073f4830805752e27e77a5d79042,5
0x5f761a35d4a0c99e70a9dbf61462891c7ba3d93d,5
0xbc6d77aa4fc4407897bac23d78dd4bdc1d5f8676,5
0xf04141347b341b6540e806ddfeb6fcdfc6db3703,5
0x02d2f69f62d073b2fe45c051e3876952bcef3165,5
0x784058c14e0c3b90229d7aa3f83081cefbe3f40b,5
0x55fc3e5eb344968bfb5a079628edde58b9e6ef71,5
0x83304f7b6f17735e96de59eb69e0229b06241236,5
0x3e9e7003f3a09cb82033a4f2a64e681009fc6ba6,5
0x17e566d94b9e9471eaaa1fd48fed92666fe0e6c0,5
0x7bbee141d5b86dad4162c734c5c9d6d0751f1c69,5
0x4e03446b62750ba116beafb11b289201878ef37a,5
0xe63c78adcb7a766ddc48e493de46094b59376ef5,5
0x087be9e1cbeacff8188fab3ab6e781d0ae2b4a1c,5
0x8845234ffb6e7183e0e59a0dc9bc86bf51246699,5
0xf04f09930d20c95e93c34a2e70cbf75b1eba0c2c,5
0xf74f8ad40b17887b0379d87c55c063dc2861aa2f,5
0x2bf0df7fcf1e8271ab075019dd0585adc09a46df,4
0xaf4660bc591a8dd11eb3f025c6cc838be25d550b,4
0xbf8641831d15c2701ba122981c3d7a6a2533ea48,4
0x063761b4fdea48679e8ef3a31a56bb8a1013102c,4
0x6fa93df7ef49fca5d5fbfa46a425368f87beb561,4
0x49ec49276bac2b04613073acf7dc28d7371a7be0,4
0xd86e5f96fd5b7eacca2be0e21005b05be3ea36fb,4
0xd09046f58f11dc79f839ff6efd2d8bd65f1f9d0e,4
0x751ed86531754ea1df93ca61440ac980d8b20015,4
0x444e591404f12d98c5831f20ed3446c9ba4a2556,4
0x8cbcc1f43789bc5adce858151e3519e9c0df03ea,4
0xf81865ced6473621741b67150ebe9406139b8d33,4
0xe0bf1ba48d5d57eba4cea3d3e2d4960c82f87cb9,4
0x423591719a6167b589ab7580b810fdf49d765b5d,4
0x32dc7a665af94cb941de28de8bd69b8ae95f6b78,4
0xb6d089f0b4865f922fe92815a1c90b53598e5aae,4
0x46ebcef4e1c86d244598db963d27fb2713771cae,4
0xecc424c1ffb22ba13d84669f15107f53809b0ee3,4
0x89dd514ac273d04b6db76c63a511dd1dddd000a2,4
0x98d8ebbf0e389e4fdf20849d3f6788cc6f06e4ee,4
0x18e8caea3411b0b8208aacaba9a77fb48eba5a5e,4
0xd6c58eab3d07025300f2517946e90779c07439ae,4
0x46f96c7cc64ea70fad17d81259d222f98c530c2e,4
0xbc8877b5f13fb38bae0d795eb465fc3d995c3522,4
0xc643c9411a6b489e9833b16631140f42bbfcb6d1,4
0xd94384d7742ba9f5b2136237e990b03080961a9a,4
0x9749c95a67af4799b10af1f01874f7583e49711c,4
0xffc81e8ff9a40727d7df97233f1fae26344eb90c,4
0x2fc70fc0d1ec1a7ebea534cd41ea171d1d61c8c0,4
0x69ddcf4750d5d7d408e4bf4787822895043cf34a,4
0xfd993606d7bff499cb82a98199eb3ea448c1d0c1,4
0xff6f09a3dd890d9ff3df2f4be1e60716b0d83347,4
0x93f5ecc138311f29f0ecd54a46a2b6b42ffa6330,4
0xe4aff6239ba4d2ed2ba4d2de765d3cb45f375a00,4
0xfc65f033656fec14b072576484ef870a51695332,4
0x3a55478adafce637a9eb4fdf5027f283ed4233fe,4
0x9c4d83d302f642b528fd47559c194606b86e63b5,4
0x6ca382846e9e9a44b499f0ce460bf6fa7dfcfed5,4
0xbf4cc9ebfc3d71da79bf5245d408adc27a9f7976,4
0x4dec0401207a64d1a93f2614f2d9abbefe15de8f,3
0xe7e2f804216a447eab9ae28b1292dc5267f660ab,3
0x0335bd5215a5e42c3beb20b30dfaf803c0901786,3
0x88c31407d57f1f736acb43a12aadab9d55a8e0cd,3
0x0b737c0516f0d9e67ccd728b59cc7a2945dd6e51,3
0xa55705954f4b629ab7c2c618fa325d2b95d1e9f7,3
0x7d761d8828baf244eac723f82b2ece15ef8adc4f,3
0xfaf5da8d60549cfef25ba7112443fe1076174b2c,3
0xc2d914e47c2642d5e248d580bd0a3865b9f07d61,3
0xb91b656ed6d410648895b19dec5bbd3743938096,3
0xf6a050e28c9da904f5ea04226bc43a92a2ffe4ed,3
0x9c99ce072328b450871c8e27da0a3759f71985e7,3
0x9f7ef899becd23360a6f3c96dae9f32b6493b2a2,3
